Refund_ID,Transaction_ID,Refund_Date,Refund_Amount,Refund_Reason,Refund_Status
REF100039,TXN10062853,01-10-2025,392.05,Merchant Cancellation,Completed
REF100040,TXN10179267,10-05-2024,1851.16,Product Return,Completed
REF100041,TXN10114317,29-10-2024,1412.05,Failed Service,Completed
REF100042,TXN10150335,05-08-2024,987.66,Duplicate Payment,Completed
REF100043,TXN10038355,18-08-2023,1738.63,Duplicate Payment,Completed
REF100044,TXN10108469,05-12-2023,447.53,Customer Request,Completed
REF100045,TXN10138859,24-03-2023,1365.5,Duplicate Payment,Completed
REF100046,TXN10091088,07-07-2023,455.31,Duplicate Payment,Completed
REF100047,TXN10013086,19-02-2024,1783.99,Customer Request,Completed
REF100048,TXN10151921,18-10-2024,179,Customer Request,Pending
REF100049,TXN10038146,11-11-2024,128.1,Customer Request,Completed
REF100050,TXN10095505,31-05-2024,340.84,Customer Request,Completed
REF100051,TXN10164409,18-03-2025,372.3,Failed Service,Completed
REF100052,TXN10017046,14-05-2024,489.75,Merchant Cancellation,Completed
REF100053,TXN10121081,26-07-2025,1240.2,Merchant Cancellation,Completed
REF100054,TXN10087980,19-11-2024,295.95,Duplicate Payment,Completed
REF100055,TXN10129615,07-07-2023,1213.85,Duplicate Payment,Completed
REF100056,TXN10135808,01-10-2025,212.52,Duplicate Payment,Completed
REF100057,TXN10025619,21-09-2024,226.27,Duplicate Payment,Rejected
REF100058,TXN10012667,02-04-2025,721.97,Product Return,Completed
REF100059,TXN10180503,18-11-2025,1386.75,Failed Service,Completed
REF100060,TXN10181567,29-12-2023,267.39,Customer Request,Completed
REF100061,TXN10163984,13-05-2025,364.41,Merchant Cancellation,Completed
REF100062,TXN10064756,07-04-2023,2521.92,Product Return,Completed
REF100063,TXN10066693,17-08-2025,166.12,Customer Request,Completed
REF100064,TXN10150857,07-08-2024,673.1,Duplicate Payment,Completed
REF100065,TXN10024791,15-02-2025,726.48,Merchant Cancellation,Completed
REF100066,TXN10178787,04-05-2025,621.1,Duplicate Payment,Rejected
REF100067,TXN10114332,31-07-2024,358.87,Duplicate Payment,Completed
REF100068,TXN10019665,22-07-2023,421.78,Duplicate Payment,Completed
REF100069,TXN10044398,18-12-2024,543.51,Failed Service,Completed
REF100070,TXN10116999,08-02-2024,1124.07,Customer Request,Completed
REF100071,TXN10174911,02-05-2024,853.97,Customer Request,Completed
REF100072,TXN10109534,30-07-2023,1976.54,Failed Service,Completed
REF100073,TXN10128025,06-08-2023,269.39,Customer Request,Completed
REF100074,TXN10003912,01-09-2023,164.11,Product Return,Completed
REF100075,TXN10081634,02-07-2023,447.47,Customer Request,Pending
REF100076,TXN10056262,25-03-2023,1506.2,Merchant Cancellation,Completed
REF100077,TXN10092073,04-10-2025,861.5,Product Return,Completed
REF100078,TXN10069313,02-05-2023,550.27,Duplicate Payment,Completed
REF100079,TXN10020875,20-06-2025,1398.25,Failed Service,Completed
REF100080,TXN10116577,25-11-2025,1204.33,Merchant Cancellation,Completed
REF100081,TXN10007998,03-12-2024,191.59,Customer Request,Completed
REF100082,TXN10162821,19-02-2024,1244.18,Customer Request,Completed
REF100083,TXN10079523,23-03-2025,1001.74,Product Return,Completed
REF100084,TXN10120658,27-09-2025,2320.36,Failed Service,Completed
REF100085,TXN10069872,19-06-2025,149.17,Duplicate Payment,Completed
REF100086,TXN10049061,23-05-2023,372.68,Failed Service,Completed
REF100087,TXN10048292,24-01-2025,1049.51,Failed Service,Rejected
REF100088,TXN10197010,23-03-2023,371.9,Failed Service,Completed
REF100089,TXN10012597,21-10-2025,212.32,Product Return,Completed
REF100090,TXN10088136,28-07-2024,416.53,Duplicate Payment,Completed
REF100091,TXN10089003,10-09-2023,344.07,Duplicate Payment,Completed
REF100092,TXN10138990,31-05-2025,689.85,Product Return,Completed
REF100093,TXN10160718,30-12-2023,169.95,Product Return,Completed
REF100094,TXN10075470,06-02-2023,616.57,Merchant Cancellation,Completed
REF100095,TXN10013671,30-07-2024,104.41,Duplicate Payment,Completed
REF100096,TXN10058650,03-04-2024,1672.79,Merchant Cancellation,Completed
REF100097,TXN10027499,26-07-2023,706.23,Merchant Cancellation,Completed
REF100098,TXN10193070,19-10-2023,218.39,Duplicate Payment,Completed
REF100099,TXN10006935,22-06-2024,514.9,Merchant Cancellation,Completed
REF100100,TXN10042419,18-11-2025,583.55,Failed Service,Completed
REF100101,TXN10042561,04-11-2025,196.79,Merchant Cancellation,Completed
REF100102,TXN10047974,03-11-2025,2542.89,Product Return,Completed
REF100103,TXN10155622,05-08-2024,5700.17,Customer Request,Completed
REF100104,TXN10144406,06-08-2023,123.56,Product Return,Completed
REF100105,TXN10029142,14-02-2025,83.68,Failed Service,Completed
REF100106,TXN10142677,31-05-2023,374.43,Duplicate Payment,Completed
REF100107,TXN10144080,28-06-2024,208.75,Product Return,Completed
REF100108,TXN10170608,13-09-2025,76.72,Duplicate Payment,Rejected
REF100109,TXN10021706,21-03-2024,828.4,Product Return,Completed
REF100110,TXN10080659,31-12-2024,775.83,Duplicate Payment,Completed
REF100111,TXN10038938,02-12-2024,658.78,Merchant Cancellation,Completed
REF100112,TXN10082885,17-04-2024,124.02,Merchant Cancellation,Completed
REF100113,TXN10070470,18-10-2025,714.98,Merchant Cancellation,Completed
REF100114,TXN10141076,13-11-2025,241.7,Merchant Cancellation,Completed
REF100115,TXN10197153,07-04-2023,2143.02,Customer Request,Completed
REF100116,TXN10114049,05-10-2024,167.22,Customer Request,Completed
REF100117,TXN10077816,14-12-2023,312.85,Failed Service,Completed
REF100118,TXN10049204,27-11-2025,1177.55,Product Return,Completed
REF100119,TXN10024133,29-08-2023,532.66,Duplicate Payment,Completed
REF100120,TXN10041952,18-03-2025,920.09,Product Return,Completed
REF100121,TXN10186652,19-09-2025,170.64,Product Return,Completed
REF100122,TXN10005758,10-02-2025,587.98,Merchant Cancellation,Completed
REF100123,TXN10169513,07-11-2025,158.17,Product Return,Completed
REF100124,TXN10008528,01-12-2025,965.68,Product Return,Completed
REF100125,TXN10052749,10-10-2023,128.39,Duplicate Payment,Completed
REF100126,TXN10054347,01-09-2023,666.98,Product Return,Completed
REF100127,TXN10015736,07-10-2023,1929.83,Merchant Cancellation,Completed
REF100128,TXN10026628,23-07-2023,611.81,Duplicate Payment,Completed
REF100129,TXN10082556,15-07-2025,695.17,Product Return,Completed
REF100130,TXN10196636,09-09-2023,874.46,Customer Request,Rejected
REF100131,TXN10186097,26-09-2025,421.43,Failed Service,Completed
REF100132,TXN10021003,23-07-2025,696.07,Merchant Cancellation,Completed
REF100133,TXN10030774,11-05-2024,228.97,Customer Request,Completed
REF100134,TXN10083955,09-11-2023,488.83,Failed Service,Completed
REF100135,TXN10196206,24-06-2024,470.76,Duplicate Payment,Completed
REF100136,TXN10077426,08-10-2023,1045.31,Failed Service,Rejected
REF100137,TXN10175233,09-12-2023,273.45,Customer Request,Completed
REF100138,TXN10031575,24-04-2024,87.74,Merchant Cancellation,Rejected
REF100139,TXN10146296,28-11-2025,414.43,Merchant Cancellation,Completed
REF100140,TXN10079770,25-02-2023,1815.5,Customer Request,Completed
REF100141,TXN10106702,05-04-2025,455.6,Merchant Cancellation,Completed
REF100142,TXN10008382,19-10-2025,1053.93,Duplicate Payment,Completed
REF100143,TXN10136373,21-04-2023,568.37,Merchant Cancellation,Completed
REF100144,TXN10186734,30-09-2025,97.22,Product Return,Completed
REF100145,TXN10098234,15-05-2024,1234.56,Failed Service,Completed
REF100146,TXN10073848,06-09-2023,1235.12,Duplicate Payment,Rejected
REF100147,TXN10018112,11-09-2025,614.1,Failed Service,Completed
REF100148,TXN10143725,23-05-2025,322.98,Duplicate Payment,Completed
REF100149,TXN10030811,02-07-2024,998.14,Merchant Cancellation,Completed
REF100150,TXN10092726,18-06-2025,358.14,Customer Request,Completed
REF100151,TXN10131841,12-01-2024,898.79,Duplicate Payment,Completed
REF100152,TXN10155098,03-04-2024,455.2,Merchant Cancellation,Completed
REF100153,TXN10040840,22-07-2023,680.58,Duplicate Payment,Completed
REF100154,TXN10164823,28-07-2023,220.79,Product Return,Completed
REF100155,TXN10162845,04-10-2024,160.92,Product Return,Completed
REF100156,TXN10068101,22-05-2025,910.85,Customer Request,Completed
REF100157,TXN10060108,12-11-2024,272.03,Duplicate Payment,Completed
REF100158,TXN10167183,26-07-2025,329.82,Failed Service,Completed
REF100159,TXN10015704,01-01-2024,606.64,Merchant Cancellation,Completed
REF100160,TXN10123924,15-01-2024,168.05,Product Return,Completed
REF100161,TXN10045517,23-03-2024,349.89,Duplicate Payment,Completed
REF100162,TXN10027081,17-02-2025,550.67,Customer Request,Completed
REF100163,TXN10032292,14-07-2025,939.48,Customer Request,Completed
REF100164,TXN10064706,10-09-2023,7630.55,Merchant Cancellation,Completed
REF100165,TXN10121204,09-03-2024,353.15,Duplicate Payment,Pending
REF100166,TXN10084937,30-11-2023,188.29,Merchant Cancellation,Completed
REF100167,TXN10063746,15-01-2023,991.42,Product Return,Completed
REF100168,TXN10166517,01-12-2025,750.83,Product Return,Pending
REF100169,TXN10074501,25-09-2024,170.92,Customer Request,Completed
REF100170,TXN10145120,04-07-2023,1926.3,Merchant Cancellation,Completed
REF100171,TXN10146080,02-12-2025,545.91,Merchant Cancellation,Completed
REF100172,TXN10197058,18-08-2023,1308.97,Failed Service,Completed
REF100173,TXN10049674,29-01-2025,891.48,Failed Service,Completed
REF100174,TXN10140360,05-09-2024,667.1,Product Return,Completed
REF100175,TXN10091294,05-07-2025,697.67,Product Return,Completed
REF100176,TXN10079552,14-06-2024,1971.69,Merchant Cancellation,Completed
REF100177,TXN10062363,16-07-2024,821.56,Failed Service,Completed
REF100178,TXN10086685,28-03-2023,444.02,Product Return,Completed
REF100179,TXN10136874,09-11-2023,345.09,Duplicate Payment,Completed
REF100180,TXN10125553,10-03-2024,241.55,Failed Service,Completed
REF100181,TXN10044798,07-06-2024,2497.9,Failed Service,Completed
REF100182,TXN10063664,15-01-2025,952.56,Merchant Cancellation,Completed
REF100183,TXN10106973,20-04-2023,107.4,Customer Request,Completed
REF100184,TXN10055806,20-05-2025,128.33,Duplicate Payment,Completed
REF100185,TXN10000692,20-12-2025,40.11,Failed Service,Completed
REF100186,TXN10170377,09-10-2025,1142.07,Merchant Cancellation,Completed
REF100187,TXN10115262,26-08-2025,179.49,Failed Service,Completed
REF100188,TXN10142902,09-10-2024,651.98,Duplicate Payment,Completed
REF100189,TXN10083776,16-12-2024,253.64,Merchant Cancellation,Completed
REF100190,TXN10012887,21-10-2025,424.7,Customer Request,Completed
REF100191,TXN10154917,17-12-2023,415.07,Merchant Cancellation,Completed
REF100192,TXN10137535,21-09-2025,1174.69,Duplicate Payment,Completed
REF100193,TXN10136884,08-09-2023,330.41,Duplicate Payment,Completed
REF100194,TXN10093435,20-01-2024,871.72,Product Return,Completed
REF100195,TXN10016587,25-11-2025,447.33,Product Return,Completed
REF100196,TXN10191837,03-11-2023,594.18,Duplicate Payment,Completed
REF100197,TXN10048271,15-01-2026,1018.53,Failed Service,Completed
REF100198,TXN10073789,25-05-2024,316.37,Merchant Cancellation,Completed
REF100199,TXN10124852,28-04-2023,491.94,Customer Request,Completed
REF100200,TXN10111762,21-07-2025,961.58,Duplicate Payment,Rejected
REF100201,TXN10025797,12-01-2025,248.5,Duplicate Payment,Completed
REF100202,TXN10107959,26-06-2023,1426.91,Customer Request,Completed
REF100203,TXN10180252,24-01-2025,168.19,Merchant Cancellation,Completed
REF100204,TXN10181447,28-03-2023,38.96,Merchant Cancellation,Rejected
REF100205,TXN10146928,05-01-2024,670.35,Duplicate Payment,Completed
REF100206,TXN10145674,12-07-2023,334.78,Merchant Cancellation,Completed
REF100207,TXN10153276,27-06-2025,907.65,Merchant Cancellation,Completed
REF100208,TXN10082592,08-04-2024,510.81,Customer Request,Completed
REF100209,TXN10016464,16-11-2023,452.42,Failed Service,Completed
REF100210,TXN10147662,13-08-2025,1475.1,Duplicate Payment,Completed
REF100211,TXN10106260,22-11-2023,1975.04,Customer Request,Completed
REF100212,TXN10056359,30-07-2025,332.27,Customer Request,Completed
REF100213,TXN10041444,03-11-2025,437.22,Customer Request,Completed
REF100214,TXN10043295,13-08-2024,866.64,Customer Request,Completed
REF100215,TXN10095966,08-06-2023,416.89,Failed Service,Completed
REF100216,TXN10157314,06-03-2024,128.34,Product Return,Completed
REF100217,TXN10062933,22-12-2024,334.1,Failed Service,Completed
REF100218,TXN10181655,23-09-2024,142.13,Duplicate Payment,Completed
REF100219,TXN10189012,16-11-2024,292.91,Merchant Cancellation,Completed
REF100220,TXN10003553,28-07-2023,229.61,Customer Request,Completed
REF100221,TXN10003769,06-10-2023,370.76,Customer Request,Completed
REF100222,TXN10140431,04-09-2025,107.89,Customer Request,Completed
REF100223,TXN10188443,01-02-2024,525,Failed Service,Completed
REF100224,TXN10074595,07-12-2023,285.77,Duplicate Payment,Completed
REF100225,TXN10038611,12-01-2024,369.5,Merchant Cancellation,Completed
REF100226,TXN10130201,21-12-2025,106.57,Duplicate Payment,Completed
REF100227,TXN10111018,04-07-2024,316.59,Merchant Cancellation,Completed
REF100228,TXN10123522,27-07-2024,526.53,Customer Request,Completed
REF100229,TXN10043371,21-06-2024,1833.6,Product Return,Completed
REF100230,TXN10019529,02-10-2024,695.65,Product Return,Pending
REF100231,TXN10119637,23-04-2023,1282.24,Product Return,Completed
REF100232,TXN10057667,11-11-2025,776.48,Failed Service,Completed
REF100233,TXN10005608,18-03-2024,3027.88,Failed Service,Completed
REF100234,TXN10000035,25-12-2024,133.77,Duplicate Payment,Completed
REF100235,TXN10098685,24-02-2024,411.06,Product Return,Completed
REF100236,TXN10117853,01-07-2025,911.29,Failed Service,Rejected
REF100237,TXN10065558,11-06-2023,163.91,Customer Request,Completed
REF100238,TXN10008472,26-09-2024,640.1,Merchant Cancellation,Completed
REF100239,TXN10021789,25-11-2023,291.79,Merchant Cancellation,Completed
REF100240,TXN10098343,01-09-2025,282.64,Duplicate Payment,Completed
REF100241,TXN10147009,30-07-2025,429.34,Duplicate Payment,Completed
REF100242,TXN10164192,01-03-2025,578.35,Merchant Cancellation,Completed
REF100243,TXN10066095,08-09-2024,855.07,Duplicate Payment,Completed
REF100244,TXN10181261,23-01-2024,584.43,Customer Request,Completed
REF100245,TXN10153671,09-11-2025,863.99,Product Return,Completed
REF100246,TXN10147626,29-02-2024,715.1,Merchant Cancellation,Completed
REF100247,TXN10089953,13-04-2023,719.04,Customer Request,Completed
REF100248,TXN10139734,26-04-2023,311.12,Customer Request,Completed
REF100249,TXN10006179,30-04-2023,529.9,Failed Service,Completed
REF100250,TXN10192835,20-05-2023,125.83,Failed Service,Completed
REF100251,TXN10132058,18-02-2024,159.94,Customer Request,Completed
REF100252,TXN10070059,12-03-2024,258.66,Merchant Cancellation,Completed
REF100253,TXN10036737,18-08-2023,596.74,Customer Request,Completed
REF100254,TXN10187165,22-02-2025,703.48,Failed Service,Completed
REF100255,TXN10199663,11-06-2025,1321.48,Merchant Cancellation,Completed
REF100256,TXN10150308,24-09-2025,1219.66,Failed Service,Completed
REF100257,TXN10162649,18-12-2025,1032.09,Customer Request,Completed
REF100258,TXN10154796,09-08-2023,463.12,Merchant Cancellation,Completed
REF100259,TXN10139085,02-07-2023,170.84,Customer Request,Completed
REF100260,TXN10107982,04-03-2025,400.98,Customer Request,Completed
REF100261,TXN10110908,11-06-2023,188.06,Product Return,Completed
REF100262,TXN10041152,25-04-2024,596.33,Customer Request,Completed
REF100263,TXN10174658,27-01-2024,489.12,Duplicate Payment,Completed
REF100264,TXN10139607,22-05-2023,141.75,Merchant Cancellation,Completed
REF100265,TXN10044533,07-05-2023,226.43,Merchant Cancellation,Completed
REF100266,TXN10027275,16-04-2023,349.75,Failed Service,Completed
REF100267,TXN10060459,03-08-2023,5113.82,Merchant Cancellation,Rejected
REF100268,TXN10028194,02-08-2023,97.77,Merchant Cancellation,Completed
REF100269,TXN10034775,07-11-2023,777.31,Customer Request,Completed
REF100270,TXN10120737,16-05-2024,646.76,Customer Request,Completed
REF100271,TXN10024563,04-03-2024,507.78,Duplicate Payment,Completed
REF100272,TXN10169353,02-02-2025,422.89,Failed Service,Completed
REF100273,TXN10066803,23-07-2025,69.82,Failed Service,Completed
REF100274,TXN10145911,16-10-2023,879.51,Duplicate Payment,Completed
REF100275,TXN10039584,09-03-2023,369.22,Customer Request,Completed
REF100276,TXN10096591,09-05-2023,1573.18,Duplicate Payment,Completed
REF100277,TXN10105127,30-10-2023,266.16,Product Return,Pending
REF100278,TXN10182046,10-10-2023,887.1,Product Return,Completed
REF100279,TXN10014773,20-08-2025,1337.26,Merchant Cancellation,Completed
REF100280,TXN10191848,20-05-2025,244.06,Failed Service,Completed
REF100281,TXN10170327,20-02-2024,1993.39,Duplicate Payment,Completed
REF100282,TXN10170720,29-08-2025,448.44,Customer Request,Pending
REF100283,TXN10156126,09-10-2024,1130.59,Failed Service,Pending
REF100284,TXN10124958,21-01-2023,1130.22,Merchant Cancellation,Completed
REF100285,TXN10128864,12-10-2025,677.77,Failed Service,Completed
REF100286,TXN10080348,29-10-2023,840.73,Duplicate Payment,Completed
REF100287,TXN10123565,28-03-2023,482.38,Duplicate Payment,Completed
REF100288,TXN10055844,08-07-2025,249.39,Merchant Cancellation,Completed
REF100289,TXN10078969,02-12-2024,549.66,Duplicate Payment,Pending
REF100290,TXN10102946,30-03-2025,547.44,Customer Request,Completed
REF100291,TXN10064061,14-07-2024,358.1,Duplicate Payment,Completed
REF100292,TXN10002817,08-01-2024,812.64,Product Return,Completed
REF100293,TXN10180909,10-12-2025,797.09,Merchant Cancellation,Completed
REF100294,TXN10008349,03-12-2025,569.15,Customer Request,Completed
REF100295,TXN10040040,04-10-2023,1253.16,Duplicate Payment,Completed
REF100296,TXN10051865,22-02-2025,116.35,Merchant Cancellation,Pending
REF100297,TXN10040654,25-06-2023,1188.89,Failed Service,Completed
REF100298,TXN10021118,08-11-2025,781.38,Product Return,Completed
REF100299,TXN10178815,02-11-2023,358.82,Failed Service,Completed
REF100300,TXN10055759,28-11-2025,208.94,Customer Request,Completed
REF100301,TXN10019260,09-07-2025,1893.04,Product Return,Completed
REF100302,TXN10190555,01-04-2025,794.47,Product Return,Rejected
REF100303,TXN10155459,24-11-2025,168.11,Duplicate Payment,Completed
REF100304,TXN10032051,07-05-2025,1137.25,Merchant Cancellation,Completed
REF100305,TXN10167476,15-03-2025,483.37,Customer Request,Pending
REF100306,TXN10007216,15-07-2023,818.94,Merchant Cancellation,Completed
REF100307,TXN10124899,24-03-2025,460.52,Merchant Cancellation,Completed
REF100308,TXN10144897,17-10-2025,284.59,Customer Request,Completed
REF100309,TXN10091646,07-01-2024,1394.53,Failed Service,Completed
REF100310,TXN10069403,21-06-2024,328.55,Failed Service,Completed
REF100311,TXN10026644,08-08-2024,501.79,Merchant Cancellation,Completed
REF100312,TXN10047685,23-01-2024,424.62,Product Return,Completed
REF100313,TXN10098606,06-07-2025,200.45,Customer Request,Completed
REF100314,TXN10032028,09-06-2024,599.68,Product Return,Completed
REF100315,TXN10186956,01-08-2025,623.4,Failed Service,Completed
REF100316,TXN10113060,16-07-2023,1172.71,Duplicate Payment,Completed
REF100317,TXN10001961,16-12-2024,1674.54,Merchant Cancellation,Completed
REF100318,TXN10132086,22-09-2024,881.86,Product Return,Completed
REF100319,TXN10184055,07-03-2024,616.45,Product Return,Completed
REF100320,TXN10041223,14-08-2023,612.87,Duplicate Payment,Completed
REF100321,TXN10118704,06-11-2025,164.9,Customer Request,Completed
REF100322,TXN10155694,06-12-2023,1698.05,Customer Request,Completed
REF100323,TXN10072955,20-10-2023,274.04,Merchant Cancellation,Completed
REF100324,TXN10022928,06-09-2025,271.64,Merchant Cancellation,Completed
REF100325,TXN10057550,30-09-2025,381.65,Failed Service,Completed
REF100326,TXN10196542,09-10-2024,255.18,Product Return,Completed
REF100327,TXN10136835,24-02-2025,444.36,Duplicate Payment,Completed
REF100328,TXN10148954,03-01-2024,761.36,Duplicate Payment,Completed
REF100329,TXN10136845,31-08-2023,1508.17,Merchant Cancellation,Completed
REF100330,TXN10017796,10-09-2025,942.12,Duplicate Payment,Completed
REF100331,TXN10144456,17-01-2024,196.97,Merchant Cancellation,Pending
REF100332,TXN10004709,11-01-2025,226.98,Product Return,Completed
REF100333,TXN10097580,31-05-2023,88.78,Duplicate Payment,Rejected
REF100334,TXN10191539,14-02-2025,298.67,Customer Request,Pending
REF100335,TXN10045161,30-10-2023,374.08,Merchant Cancellation,Rejected
REF100336,TXN10135831,04-03-2025,977.47,Product Return,Completed
REF100337,TXN10075268,11-01-2024,977.32,Failed Service,Completed
REF100338,TXN10082769,11-07-2025,470.5,Product Return,Completed
REF100339,TXN10082898,14-03-2025,412.04,Failed Service,Completed
REF100340,TXN10065256,13-08-2023,821.04,Customer Request,Completed
REF100341,TXN10146116,10-03-2024,1525.29,Customer Request,Rejected
REF100342,TXN10010437,05-07-2023,457.95,Product Return,Rejected
REF100343,TXN10036746,02-05-2025,633.36,Merchant Cancellation,Completed
REF100344,TXN10115910,07-09-2023,1719.57,Customer Request,Completed
REF100345,TXN10005099,25-05-2024,76.75,Merchant Cancellation,Completed
REF100346,TXN10080545,22-02-2024,137.38,Customer Request,Completed
REF100347,TXN10176191,12-12-2023,198.35,Failed Service,Pending
REF100348,TXN10199662,24-06-2023,218.42,Failed Service,Rejected
REF100349,TXN10075125,05-04-2024,738.03,Failed Service,Completed
REF100350,TXN10196136,05-06-2025,2040.25,Product Return,Completed
REF100351,TXN10014979,16-12-2023,1056.67,Failed Service,Completed
REF100352,TXN10160359,17-11-2025,2095.49,Merchant Cancellation,Completed
REF100353,TXN10177981,11-01-2025,722.65,Duplicate Payment,Completed
REF100354,TXN10092920,14-04-2023,512.07,Failed Service,Completed
REF100355,TXN10143710,26-04-2023,193.52,Duplicate Payment,Completed
REF100356,TXN10088938,24-06-2025,67.33,Merchant Cancellation,Completed
REF100357,TXN10133466,07-02-2024,130.84,Merchant Cancellation,Completed
REF100358,TXN10172332,28-01-2024,234.15,Failed Service,Pending
REF100359,TXN10070546,04-10-2023,2520.11,Customer Request,Completed
REF100360,TXN10012216,30-05-2025,735.65,Merchant Cancellation,Completed
REF100361,TXN10094545,28-04-2024,1969.49,Failed Service,Completed
REF100362,TXN10110928,29-12-2024,1049.38,Customer Request,Pending
REF100363,TXN10040183,06-09-2025,1060.04,Merchant Cancellation,Completed
REF100364,TXN10010188,11-06-2024,709.28,Merchant Cancellation,Completed
REF100365,TXN10060172,28-07-2025,170.24,Customer Request,Completed
REF100366,TXN10137283,03-10-2024,470.62,Product Return,Completed
REF100367,TXN10182094,28-11-2024,338.42,Customer Request,Completed
REF100368,TXN10050753,12-07-2025,909.52,Product Return,Completed
REF100369,TXN10093101,11-01-2025,856.1,Duplicate Payment,Completed
REF100370,TXN10049247,29-01-2023,1111.42,Merchant Cancellation,Completed
REF100371,TXN10197146,12-01-2024,397.45,Merchant Cancellation,Completed
REF100372,TXN10031831,25-06-2025,1603.55,Duplicate Payment,Completed
REF100373,TXN10128790,25-10-2025,300.93,Product Return,Completed
REF100374,TXN10004226,15-03-2023,1081.98,Merchant Cancellation,Pending
REF100375,TXN10066412,28-07-2025,593.02,Failed Service,Completed
REF100376,TXN10133521,30-03-2025,156.19,Duplicate Payment,Completed
REF100377,TXN10044654,30-03-2023,1281.85,Duplicate Payment,Completed
REF100378,TXN10078005,11-09-2025,1622.07,Merchant Cancellation,Completed
REF100379,TXN10063928,28-11-2024,402.72,Duplicate Payment,Completed
REF100380,TXN10141490,01-12-2025,222.35,Product Return,Completed
REF100381,TXN10017194,27-08-2025,861.57,Failed Service,Completed
REF100382,TXN10008002,17-01-2023,375.84,Failed Service,Completed
REF100383,TXN10018350,19-11-2025,673.6,Failed Service,Completed
REF100384,TXN10165953,09-06-2024,171.68,Product Return,Completed
REF100385,TXN10195831,17-02-2024,111.87,Product Return,Completed
REF100386,TXN10173373,08-06-2025,2832.49,Product Return,Completed
REF100387,TXN10182729,02-12-2023,158.47,Merchant Cancellation,Completed
REF100388,TXN10173955,06-07-2025,938.62,Product Return,Completed
REF100389,TXN10097139,25-03-2025,294.71,Duplicate Payment,Completed
REF100390,TXN10113375,21-04-2023,503.34,Failed Service,Completed
REF100391,TXN10044560,08-11-2024,351.43,Customer Request,Completed
REF100392,TXN10107559,05-09-2024,311.57,Failed Service,Completed
REF100393,TXN10128742,03-06-2024,719.86,Product Return,Pending
REF100394,TXN10071521,04-01-2024,229.91,Product Return,Completed
REF100395,TXN10085021,11-12-2023,301.85,Customer Request,Completed
REF100396,TXN10017667,10-02-2023,2091.22,Failed Service,Completed
REF100397,TXN10023393,17-08-2024,270.67,Customer Request,Completed
REF100398,TXN10087751,09-01-2024,161.59,Merchant Cancellation,Completed
REF100399,TXN10189302,05-10-2025,148.72,Customer Request,Completed
REF100400,TXN10036921,13-02-2025,107.3,Failed Service,Completed
REF100401,TXN10019570,20-12-2025,508.86,Merchant Cancellation,Completed
REF100402,TXN10114066,13-07-2025,577.39,Failed Service,Completed
