Merchant_ID,Merchant_Category,City,State
MER100324,Travel,Noida,Uttar Pradesh
MER100325,Education,Chennai,Telangana
MER100326,Fuel,Kochi,Maharashtra
MER100327,Entertainment,Lucknow,Karnataka
MER100328,Education,Chennai,Telangana
MER100329,Retail,Pune,West Bengal
MER100330,Food & Dining,Lucknow,Uttar Pradesh
MER100331,Fuel,Noida,Delhi
MER100332,Utilities,Kolkata,Rajasthan
MER100333,Entertainment,Hyderabad,Telangana
MER100334,Healthcare,Mysuru,Maharashtra
MER100335,Travel,Hyderabad,Maharashtra
MER100336,Education,Kochi,Kerala
MER100337,E-commerce,Nagpur,Maharashtra
MER100338,Grocery,New Delhi,Gujarat
MER100339,Healthcare,Nagpur,Delhi
MER100340,Fuel,Pune,Tamil Nadu
MER100341,Grocery,Hyderabad,Telangana
MER100342,Grocery,Nagpur,Gujarat
MER100343,Retail,Pune,Maharashtra
MER100344,Grocery,Mumbai,Gujarat
MER100345,Retail,Noida,West Bengal
MER100346,Travel,Ahmedabad,Telangana
MER100347,E-commerce,New Delhi,Maharashtra
MER100348,Travel,Bengaluru,Delhi
MER100349,E-commerce,Lucknow,Kerala
MER100350,E-commerce,Nagpur,Rajasthan
MER100351,Grocery,New Delhi,Kerala
MER100352,Food & Dining,Bengaluru,Karnataka
MER100353,Utilities,New Delhi,Maharashtra
MER100354,Food & Dining,Chennai,Kerala
MER100355,Grocery,Ahmedabad,Maharashtra
MER100356,E-commerce,Nagpur,West Bengal
MER100357,Travel,Jaipur,West Bengal
MER100358,Grocery,Bengaluru,Kerala
MER100359,Fuel,Chennai,Maharashtra
MER100360,Travel,Noida,Tamil Nadu
MER100361,Healthcare,Noida,Rajasthan
MER100362,Retail,Lucknow,Uttar Pradesh
MER100363,E-commerce,New Delhi,Rajasthan
MER100364,Entertainment,Pune,Kerala
MER100365,Healthcare,Hyderabad,Rajasthan
MER100366,Healthcare,Surat,Tamil Nadu
MER100367,Grocery,Noida,Delhi
MER100368,Fuel,Nagpur,Karnataka
MER100369,E-commerce,Nagpur,Tamil Nadu
MER100370,Food & Dining,Mysuru,West Bengal
MER100371,Travel,Chennai,Maharashtra
MER100372,Travel,Hyderabad,Karnataka
MER100373,Fuel,Ahmedabad,Delhi
MER100374,Food & Dining,Kochi,Telangana
MER100375,Healthcare,Surat,Tamil Nadu
MER100376,Entertainment,Ahmedabad,Delhi
MER100377,Travel,Kochi,Maharashtra
MER100378,Retail,Surat,Maharashtra
MER100379,Fuel,Kochi,Uttar Pradesh
MER100380,Grocery,Surat,Rajasthan
MER100381,Grocery,Pune,Tamil Nadu
MER100382,Travel,Noida,Uttar Pradesh
MER100383,Grocery,Pune,Telangana
MER100384,Fuel,Chennai,Karnataka
MER100385,Utilities,Bengaluru,Gujarat
MER100386,Travel,New Delhi,Maharashtra
MER100387,Food & Dining,Kochi,Telangana
MER100388,Utilities,Ahmedabad,Maharashtra
MER100389,Travel,Mumbai,Rajasthan
MER100390,Entertainment,Kochi,Karnataka
MER100391,Travel,Surat,Karnataka
MER100392,Retail,Kolkata,Maharashtra
MER100393,Travel,Mumbai,West Bengal
MER100394,Retail,Hyderabad,Kerala
MER100395,Utilities,Surat,Uttar Pradesh
MER100396,Food & Dining,Noida,Rajasthan
MER100397,Entertainment,Kochi,Karnataka
MER100398,E-commerce,Mumbai,Telangana
MER100399,Utilities,Pune,Gujarat
MER100400,Retail,Pune,Gujarat
MER100401,Travel,Bengaluru,Kerala
MER100402,Education,Pune,Gujarat
MER100403,Travel,Lucknow,Maharashtra
MER100404,Travel,New Delhi,Uttar Pradesh
MER100405,Travel,Lucknow,Karnataka
MER100406,Healthcare,Ahmedabad,Maharashtra
MER100407,Entertainment,Mumbai,Kerala
MER100408,Entertainment,Pune,Telangana
MER100409,Grocery,Ahmedabad,Telangana
MER100410,Education,Nagpur,Karnataka
MER100411,Healthcare,Lucknow,Karnataka
MER100412,Entertainment,Mysuru,Telangana
MER100413,Utilities,Pune,Delhi
MER100414,Entertainment,Lucknow,Gujarat
MER100415,Grocery,Jaipur,Kerala
MER100416,Grocery,Nagpur,West Bengal
MER100417,Fuel,Kolkata,Tamil Nadu
MER100418,Education,Hyderabad,Maharashtra
MER100419,Healthcare,New Delhi,West Bengal
MER100420,E-commerce,Kochi,Tamil Nadu
MER100421,Healthcare,Noida,Karnataka
MER100422,Food & Dining,Ahmedabad,Telangana
MER100423,Travel,Bengaluru,Gujarat
MER100424,Fuel,Hyderabad,Gujarat
MER100425,Retail,Lucknow,Tamil Nadu
MER100426,Food & Dining,Surat,Maharashtra
MER100427,Fuel,Kochi,Kerala
MER100428,Healthcare,Pune,Kerala
MER100429,Fuel,Bengaluru,Rajasthan
MER100430,Travel,Lucknow,Tamil Nadu
MER100431,Healthcare,Mysuru,Telangana
MER100432,Fuel,Nagpur,Maharashtra
MER100433,Education,Bengaluru,Maharashtra
MER100434,E-commerce,Mysuru,Rajasthan
MER100435,Healthcare,Mysuru,Kerala
MER100436,Healthcare,Lucknow,Uttar Pradesh
MER100437,Utilities,Bengaluru,Tamil Nadu
MER100438,Retail,Jaipur,Uttar Pradesh
MER100439,Utilities,Ahmedabad,Gujarat
MER100440,Fuel,Kochi,Gujarat
MER100441,Education,Pune,Tamil Nadu
MER100442,Travel,Mysuru,Karnataka
MER100443,E-commerce,Nagpur,Tamil Nadu
MER100444,Retail,Chennai,Maharashtra
MER100445,Travel,Bengaluru,Uttar Pradesh
MER100446,Education,Nagpur,Kerala
MER100447,E-commerce,Kolkata,West Bengal
MER100448,Fuel,New Delhi,Uttar Pradesh
MER100449,Healthcare,Noida,Karnataka
MER100450,Fuel,Chennai,Telangana
MER100451,E-commerce,Jaipur,Rajasthan
MER100452,Food & Dining,Bengaluru,Karnataka
MER100453,Food & Dining,Noida,Tamil Nadu
MER100454,Education,Pune,Karnataka
MER100455,Fuel,Kochi,Tamil Nadu
MER100456,Utilities,Surat,West Bengal
MER100457,Retail,Jaipur,Maharashtra
MER100458,Travel,Kochi,Maharashtra
MER100459,Food & Dining,Noida,Maharashtra
MER100460,Grocery,Kolkata,Tamil Nadu
MER100461,Fuel,Pune,Tamil Nadu
MER100462,Fuel,Lucknow,Kerala
MER100463,Retail,Noida,Maharashtra
MER100464,Education,Bengaluru,Uttar Pradesh
MER100465,Entertainment,Pune,Kerala
MER100466,Utilities,Chennai,Rajasthan
MER100467,Education,Lucknow,Telangana
MER100468,E-commerce,Mumbai,Karnataka
MER100469,Travel,Mumbai,Telangana
MER100470,Utilities,Ahmedabad,Rajasthan
MER100471,Retail,Kochi,Tamil Nadu
MER100472,Travel,Ahmedabad,Delhi
MER100473,Healthcare,Surat,Uttar Pradesh
MER100474,Grocery,Nagpur,Uttar Pradesh
MER100475,Entertainment,Noida,Maharashtra
MER100476,Utilities,Bengaluru,West Bengal
MER100477,E-commerce,Kolkata,Tamil Nadu
MER100478,Travel,Nagpur,Maharashtra
MER100479,Fuel,Hyderabad,Uttar Pradesh
MER100480,Fuel,Pune,West Bengal
MER100481,E-commerce,New Delhi,Tamil Nadu
MER100482,E-commerce,Lucknow,Gujarat
MER100483,Education,Nagpur,Maharashtra
MER100484,Food & Dining,Noida,Tamil Nadu
MER100485,Grocery,Bengaluru,Rajasthan
MER100486,Healthcare,Mumbai,Uttar Pradesh
MER100487,Education,Kolkata,Rajasthan
MER100488,Utilities,Surat,Karnataka
MER100489,E-commerce,Pune,Telangana
MER100490,Fuel,Lucknow,West Bengal
MER100491,Utilities,Chennai,Rajasthan
MER100492,Healthcare,Kochi,West Bengal
MER100493,Grocery,Ahmedabad,Kerala
MER100494,Travel,Ahmedabad,Maharashtra
MER100495,Fuel,Mumbai,Tamil Nadu
MER100496,E-commerce,Pune,Tamil Nadu
MER100497,Grocery,Noida,Delhi
MER100498,Healthcare,Mysuru,Telangana
MER100499,Food & Dining,Kolkata,Telangana
MER100500,Healthcare,Nagpur,Rajasthan
MER100501,Food & Dining,Surat,Tamil Nadu
MER100502,Food & Dining,Kolkata,Maharashtra
MER100503,Food & Dining,Chennai,Delhi
MER100504,Entertainment,Bengaluru,Uttar Pradesh
MER100505,Education,New Delhi,West Bengal
MER100506,Utilities,Chennai,Tamil Nadu
MER100507,Grocery,Mysuru,Maharashtra
MER100508,Healthcare,Ahmedabad,Gujarat
MER100509,Grocery,Pune,Rajasthan
MER100510,Travel,Bengaluru,Maharashtra
MER100511,Healthcare,Chennai,Rajasthan
MER100512,Food & Dining,Hyderabad,Telangana
MER100513,E-commerce,Kochi,Kerala
MER100514,Education,Pune,Karnataka
MER100515,Healthcare,Kochi,West Bengal
MER100516,Travel,Bengaluru,Karnataka
MER100517,Education,Chennai,Maharashtra
MER100518,E-commerce,Chennai,West Bengal
MER100519,Education,Kochi,Rajasthan
MER100520,Retail,New Delhi,West Bengal
MER100521,Healthcare,New Delhi,Uttar Pradesh
MER100522,Education,Pune,West Bengal
MER100523,Fuel,Noida,West Bengal
MER100524,Education,Jaipur,Gujarat
MER100525,Education,Nagpur,Karnataka
MER100526,Grocery,Noida,Uttar Pradesh
MER100527,Fuel,Mumbai,Gujarat
MER100528,Fuel,Chennai,Uttar Pradesh
MER100529,E-commerce,Lucknow,Karnataka
MER100530,E-commerce,Pune,Gujarat
MER100531,Education,New Delhi,Tamil Nadu
MER100532,Food & Dining,Lucknow,Telangana
MER100533,Travel,Bengaluru,West Bengal
MER100534,Retail,Hyderabad,Telangana
MER100535,Utilities,Nagpur,Gujarat
MER100536,E-commerce,Jaipur,Telangana
MER100537,Fuel,Hyderabad,Delhi
MER100538,E-commerce,Hyderabad,Maharashtra
MER100539,Utilities,Noida,Rajasthan
MER100540,Grocery,Mysuru,Gujarat
MER100541,Education,Kolkata,Uttar Pradesh
MER100542,Utilities,Kolkata,Maharashtra
MER100543,Healthcare,Jaipur,Maharashtra
MER100544,Entertainment,Chennai,West Bengal
MER100545,Entertainment,Mysuru,Delhi
MER100546,Entertainment,Kochi,Kerala
MER100547,Retail,New Delhi,Telangana
MER100548,Retail,Mysuru,Gujarat
MER100549,Healthcare,Chennai,Delhi
MER100550,Utilities,Kochi,Rajasthan
MER100551,Education,Ahmedabad,Telangana
MER100552,Utilities,Mysuru,Maharashtra
MER100553,Travel,Chennai,Telangana
MER100554,Food & Dining,Jaipur,Karnataka
MER100555,Retail,Ahmedabad,Uttar Pradesh
MER100556,Travel,Pune,Maharashtra
MER100557,Utilities,Surat,West Bengal
MER100558,Retail,Ahmedabad,Delhi
MER100559,Food & Dining,Pune,Tamil Nadu
MER100560,Food & Dining,Nagpur,Delhi
MER100561,Grocery,Lucknow,Karnataka
MER100562,Fuel,Surat,Gujarat
MER100563,E-commerce,Lucknow,Rajasthan
MER100564,Grocery,Mysuru,West Bengal
MER100565,Travel,Pune,Rajasthan
MER100566,E-commerce,Hyderabad,Karnataka
MER100567,Food & Dining,Ahmedabad,Uttar Pradesh
MER100568,Travel,Pune,Gujarat
MER100569,Travel,Nagpur,Gujarat
MER100570,Education,Mumbai,Rajasthan
MER100571,Travel,Chennai,Uttar Pradesh
MER100572,Utilities,Mysuru,Karnataka
MER100573,Education,Chennai,Gujarat
MER100574,Utilities,Mumbai,Maharashtra
MER100575,Entertainment,Hyderabad,Kerala
MER100576,Fuel,Pune,Kerala
MER100577,Utilities,Chennai,Tamil Nadu
MER100578,Fuel,Noida,Gujarat
MER100579,Education,Surat,Maharashtra
MER100580,Utilities,Mumbai,Uttar Pradesh
MER100581,E-commerce,Lucknow,Rajasthan
MER100582,Retail,Kolkata,Maharashtra
MER100583,Healthcare,Hyderabad,Delhi
MER100584,Food & Dining,Hyderabad,Tamil Nadu
MER100585,Utilities,New Delhi,West Bengal
MER100586,Fuel,Mysuru,Tamil Nadu
MER100587,Education,Hyderabad,Rajasthan
MER100588,Travel,Nagpur,Karnataka
MER100589,Travel,Lucknow,West Bengal
MER100590,Entertainment,Bengaluru,Tamil Nadu
MER100591,Grocery,Kochi,Uttar Pradesh
MER100592,Retail,Hyderabad,Rajasthan
MER100593,Retail,Chennai,Rajasthan
MER100594,E-commerce,Chennai,Maharashtra
MER100595,Food & Dining,New Delhi,Maharashtra
MER100596,Retail,Lucknow,Gujarat
MER100597,Food & Dining,Chennai,Delhi
MER100598,Education,Jaipur,Gujarat
MER100599,Travel,Jaipur,Telangana
MER100600,Food & Dining,Noida,Karnataka
MER100601,Grocery,Jaipur,Gujarat
MER100602,Food & Dining,Surat,Gujarat
MER100603,Healthcare,Surat,West Bengal
MER100604,Fuel,Bengaluru,Karnataka
MER100605,Entertainment,Mysuru,West Bengal
MER100606,Healthcare,Surat,Kerala
MER100607,Food & Dining,Nagpur,Rajasthan
MER100608,Education,Noida,Karnataka
MER100609,Entertainment,Surat,Rajasthan
MER100610,Grocery,Kochi,Kerala
MER100611,Grocery,Lucknow,Tamil Nadu
MER100612,Retail,Ahmedabad,Gujarat
MER100613,Retail,Surat,Tamil Nadu
MER100614,Retail,Pune,Kerala
MER100615,Education,Mumbai,Karnataka
MER100616,Retail,Jaipur,Telangana
MER100617,Grocery,Hyderabad,Tamil Nadu
MER100618,E-commerce,Noida,Tamil Nadu
MER100619,Retail,Pune,Rajasthan
MER100620,Food & Dining,Kolkata,Tamil Nadu
MER100621,Fuel,Mysuru,Tamil Nadu
MER100622,Utilities,Chennai,Uttar Pradesh
MER100623,Grocery,Surat,West Bengal
MER100624,E-commerce,Ahmedabad,Uttar Pradesh
