Transaction_ID,Fraud_Flag,Risk_Score,Risk_Level,Fraud_Type
TXN10000180,No,70,High,No Fraud
TXN10000181,No,77,High,No Fraud
TXN10000182,No,76,High,No Fraud
TXN10000183,No,42,Medium,No Fraud
TXN10000184,No,22,Low,No Fraud
TXN10000185,No,20,Low,No Fraud
TXN10000186,No,28,Low,No Fraud
TXN10000187,No,14,Low,No Fraud
TXN10000188,No,9,Low,No Fraud
TXN10000189,No,52,Medium,No Fraud
TXN10000190,No,8,Low,No Fraud
TXN10000191,No,66,High,No Fraud
TXN10000192,No,33,Medium,No Fraud
TXN10000193,No,33,Medium,No Fraud
TXN10000194,No,28,Low,No Fraud
TXN10000195,No,32,Medium,No Fraud
TXN10000196,No,65,High,No Fraud
TXN10000197,No,58,Medium,No Fraud
TXN10000198,No,12,Low,No Fraud
TXN10000199,No,56,Medium,No Fraud
TXN10000200,No,21,Low,No Fraud
TXN10000201,No,79,High,No Fraud
TXN10000202,No,51,Medium,No Fraud
TXN10000203,No,78,High,No Fraud
TXN10000204,No,9,Low,No Fraud
TXN10000205,No,74,High,No Fraud
TXN10000206,No,63,High,No Fraud
TXN10000207,No,26,Low,No Fraud
TXN10000208,No,19,Low,No Fraud
TXN10000209,No,68,High,No Fraud
TXN10000210,No,37,Medium,No Fraud
TXN10000211,Yes,89,Critical,Account Takeover
TXN10000212,No,64,High,No Fraud
TXN10000213,No,17,Low,No Fraud
TXN10000214,No,34,Medium,No Fraud
TXN10000215,No,19,Low,No Fraud
TXN10000216,No,1,Low,No Fraud
TXN10000217,No,39,Medium,No Fraud
TXN10000218,No,65,High,No Fraud
TXN10000219,No,50,Medium,No Fraud
TXN10000220,No,20,Low,No Fraud
TXN10000221,No,24,Low,No Fraud
TXN10000222,No,15,Low,No Fraud
TXN10000223,No,19,Low,No Fraud
TXN10000224,No,6,Low,No Fraud
TXN10000225,No,5,Low,No Fraud
TXN10000226,No,64,High,No Fraud
TXN10000227,No,44,Medium,No Fraud
TXN10000228,No,57,Medium,No Fraud
TXN10000229,No,73,High,No Fraud
TXN10000230,No,14,Low,No Fraud
TXN10000231,No,2,Low,No Fraud
TXN10000232,No,75,High,No Fraud
TXN10000233,No,4,Low,No Fraud
TXN10000234,No,35,Medium,No Fraud
TXN10000235,No,74,High,No Fraud
TXN10000236,No,33,Medium,No Fraud
TXN10000237,No,12,Low,No Fraud
TXN10000238,No,51,Medium,No Fraud
TXN10000239,No,49,Medium,No Fraud
TXN10000240,No,80,High,No Fraud
TXN10000241,No,55,Medium,No Fraud
TXN10000242,No,71,High,No Fraud
TXN10000243,No,18,Low,No Fraud
TXN10000244,No,13,Low,No Fraud
TXN10000245,No,11,Low,No Fraud
TXN10000246,No,47,Medium,No Fraud
TXN10000247,No,29,Low,No Fraud
TXN10000248,No,77,High,No Fraud
TXN10000249,No,3,Low,No Fraud
TXN10000250,No,34,Medium,No Fraud
TXN10000251,No,42,Medium,No Fraud
TXN10000252,No,31,Medium,No Fraud
TXN10000253,No,69,High,No Fraud
TXN10000254,No,10,Low,No Fraud
TXN10000255,No,67,High,No Fraud
TXN10000256,No,70,High,No Fraud
TXN10000257,No,12,Low,No Fraud
TXN10000258,No,29,Low,No Fraud
TXN10000259,No,35,Medium,No Fraud
TXN10000260,No,70,High,No Fraud
TXN10000261,No,70,High,No Fraud
TXN10000262,No,56,Medium,No Fraud
TXN10000263,No,73,High,No Fraud
TXN10000264,No,57,Medium,No Fraud
TXN10000265,No,54,Medium,No Fraud
TXN10000266,No,25,Low,No Fraud
TXN10000267,No,55,Medium,No Fraud
TXN10000268,No,23,Low,No Fraud
TXN10000269,No,52,Medium,No Fraud
TXN10000270,No,14,Low,No Fraud
TXN10000271,No,24,Low,No Fraud
TXN10000272,No,1,Low,No Fraud
TXN10000273,No,32,Medium,No Fraud
TXN10000274,No,15,Low,No Fraud
TXN10000275,No,41,Medium,No Fraud
TXN10000276,No,27,Low,No Fraud
TXN10000277,No,48,Medium,No Fraud
TXN10000278,No,46,Medium,No Fraud
TXN10000279,No,79,High,No Fraud
TXN10000280,No,15,Low,No Fraud
TXN10000281,No,55,Medium,No Fraud
TXN10000282,No,8,Low,No Fraud
TXN10000283,No,39,Medium,No Fraud
TXN10000284,No,79,High,No Fraud
TXN10000285,No,67,High,No Fraud
TXN10000286,No,17,Low,No Fraud
TXN10000287,No,4,Low,No Fraud
TXN10000288,No,57,Medium,No Fraud
TXN10000289,No,67,High,No Fraud
TXN10000290,No,73,High,No Fraud
TXN10000291,No,54,Medium,No Fraud
TXN10000292,No,10,Low,No Fraud
TXN10000293,No,29,Low,No Fraud
TXN10000294,No,11,Low,No Fraud
TXN10000295,No,68,High,No Fraud
TXN10000296,No,21,Low,No Fraud
TXN10000297,No,71,High,No Fraud
TXN10000298,No,1,Low,No Fraud
TXN10000299,No,39,Medium,No Fraud
TXN10000300,No,58,Medium,No Fraud
TXN10000301,No,50,Medium,No Fraud
TXN10000302,No,71,High,No Fraud
TXN10000303,No,24,Low,No Fraud
TXN10000304,No,27,Low,No Fraud
TXN10000305,No,27,Low,No Fraud
TXN10000306,No,10,Low,No Fraud
TXN10000307,No,39,Medium,No Fraud
TXN10000308,No,21,Low,No Fraud
TXN10000309,No,52,Medium,No Fraud
TXN10000310,No,43,Medium,No Fraud
TXN10000311,No,22,Low,No Fraud
TXN10000312,No,62,High,No Fraud
TXN10000313,No,69,High,No Fraud
TXN10000314,No,5,Low,No Fraud
TXN10000315,No,65,High,No Fraud
TXN10000316,No,13,Low,No Fraud
TXN10000317,No,15,Low,No Fraud
TXN10000318,No,66,High,No Fraud
TXN10000319,No,52,Medium,No Fraud
TXN10000320,No,21,Low,No Fraud
TXN10000321,No,23,Low,No Fraud
TXN10000322,No,66,High,No Fraud
TXN10000323,No,66,High,No Fraud
TXN10000324,No,70,High,No Fraud
TXN10000325,No,27,Low,No Fraud
TXN10000326,No,12,Low,No Fraud
TXN10000327,No,42,Medium,No Fraud
TXN10000328,No,51,Medium,No Fraud
TXN10000329,No,36,Medium,No Fraud
TXN10000330,No,38,Medium,No Fraud
TXN10000331,No,17,Low,No Fraud
TXN10000332,No,16,Low,No Fraud
TXN10000333,No,79,High,No Fraud
TXN10000334,No,57,Medium,No Fraud
TXN10000335,No,55,Medium,No Fraud
TXN10000336,No,19,Low,No Fraud
TXN10000337,No,45,Medium,No Fraud
TXN10000338,No,2,Low,No Fraud
TXN10000339,No,6,Low,No Fraud
TXN10000340,No,39,Medium,No Fraud
TXN10000341,No,51,Medium,No Fraud
TXN10000342,No,63,High,No Fraud
TXN10000343,No,45,Medium,No Fraud
TXN10000344,No,71,High,No Fraud
TXN10000345,No,63,High,No Fraud
TXN10000346,No,80,High,No Fraud
TXN10000347,No,35,Medium,No Fraud
TXN10000348,No,14,Low,No Fraud
TXN10000349,No,25,Low,No Fraud
TXN10000350,No,68,High,No Fraud
TXN10000351,No,47,Medium,No Fraud
TXN10000352,No,48,Medium,No Fraud
TXN10000353,No,5,Low,No Fraud
TXN10000354,No,54,Medium,No Fraud
TXN10000355,No,66,High,No Fraud
TXN10000356,No,46,Medium,No Fraud
TXN10000357,No,19,Low,No Fraud
TXN10000358,No,57,Medium,No Fraud
TXN10000359,No,43,Medium,No Fraud
TXN10000360,No,77,High,No Fraud
TXN10000361,No,31,Medium,No Fraud
TXN10000362,No,17,Low,No Fraud
TXN10000363,No,40,Medium,No Fraud
TXN10000364,No,25,Low,No Fraud
TXN10000365,No,54,Medium,No Fraud
TXN10000366,No,27,Low,No Fraud
TXN10000367,No,74,High,No Fraud
TXN10000368,No,43,Medium,No Fraud
TXN10000369,No,39,Medium,No Fraud
TXN10000370,No,67,High,No Fraud
TXN10000371,No,50,Medium,No Fraud
TXN10000372,No,54,Medium,No Fraud
TXN10000373,No,46,Medium,No Fraud
TXN10000374,No,20,Low,No Fraud
TXN10000375,No,28,Low,No Fraud
TXN10000376,No,66,High,No Fraud
TXN10000377,No,56,Medium,No Fraud
TXN10000378,No,45,Medium,No Fraud
TXN10000379,No,45,Medium,No Fraud
TXN10000380,No,60,Medium,No Fraud
TXN10000381,No,13,Low,No Fraud
TXN10000382,No,39,Medium,No Fraud
TXN10000383,No,65,High,No Fraud
TXN10000384,No,27,Low,No Fraud
TXN10000385,No,49,Medium,No Fraud
TXN10000386,No,53,Medium,No Fraud
TXN10000387,No,36,Medium,No Fraud
TXN10000388,No,70,High,No Fraud
TXN10000389,No,20,Low,No Fraud
TXN10000390,No,9,Low,No Fraud
TXN10000391,No,73,High,No Fraud
TXN10000392,No,69,High,No Fraud
TXN10000393,No,62,High,No Fraud
TXN10000394,No,8,Low,No Fraud
TXN10000395,No,72,High,No Fraud
TXN10000396,No,13,Low,No Fraud
TXN10000397,No,50,Medium,No Fraud
TXN10000398,No,72,High,No Fraud
TXN10000399,No,76,High,No Fraud
TXN10000400,No,38,Medium,No Fraud
TXN10000401,No,69,High,No Fraud
TXN10000402,No,22,Low,No Fraud
TXN10000403,No,55,Medium,No Fraud
TXN10000404,No,15,Low,No Fraud
TXN10000405,No,34,Medium,No Fraud
TXN10000406,No,72,High,No Fraud
TXN10000407,No,19,Low,No Fraud
TXN10000408,No,69,High,No Fraud
TXN10000409,No,10,Low,No Fraud
TXN10000410,No,24,Low,No Fraud
TXN10000411,No,79,High,No Fraud
TXN10000412,No,15,Low,No Fraud
TXN10000413,No,52,Medium,No Fraud
TXN10000414,No,34,Medium,No Fraud
TXN10000415,No,77,High,No Fraud
TXN10000416,No,1,Low,No Fraud
TXN10000417,No,38,Medium,No Fraud
TXN10000418,No,40,Medium,No Fraud
TXN10000419,No,3,Low,No Fraud
TXN10000420,No,10,Low,No Fraud
TXN10000421,No,40,Medium,No Fraud
TXN10000422,No,24,Low,No Fraud
TXN10000423,No,17,Low,No Fraud
TXN10000424,No,66,High,No Fraud
TXN10000425,No,57,Medium,No Fraud
TXN10000426,No,68,High,No Fraud
TXN10000427,No,25,Low,No Fraud
TXN10000428,No,63,High,No Fraud
TXN10000429,No,45,Medium,No Fraud
TXN10000430,No,11,Low,No Fraud
TXN10000431,No,73,High,No Fraud
TXN10000432,No,4,Low,No Fraud
TXN10000433,No,17,Low,No Fraud
TXN10000434,No,40,Medium,No Fraud
TXN10000435,No,41,Medium,No Fraud
TXN10000436,No,72,High,No Fraud
TXN10000437,No,57,Medium,No Fraud
TXN10000438,No,69,High,No Fraud
TXN10000439,No,25,Low,No Fraud
TXN10000440,No,11,Low,No Fraud
TXN10000441,No,16,Low,No Fraud
TXN10000442,No,37,Medium,No Fraud
TXN10000443,No,9,Low,No Fraud
TXN10000444,No,28,Low,No Fraud
TXN10000445,No,67,High,No Fraud
TXN10000446,No,41,Medium,No Fraud
TXN10000447,No,28,Low,No Fraud
TXN10000448,No,34,Medium,No Fraud
TXN10000449,No,39,Medium,No Fraud
TXN10000450,No,11,Low,No Fraud
TXN10000451,No,77,High,No Fraud
TXN10000452,No,29,Low,No Fraud
TXN10000453,No,18,Low,No Fraud
TXN10000454,No,35,Medium,No Fraud
TXN10000455,No,73,High,No Fraud
TXN10000456,No,73,High,No Fraud
TXN10000457,No,62,High,No Fraud
TXN10000458,No,12,Low,No Fraud
TXN10000459,No,78,High,No Fraud
TXN10000460,No,62,High,No Fraud
TXN10000461,No,74,High,No Fraud
TXN10000462,No,69,High,No Fraud
TXN10000463,No,69,High,No Fraud
TXN10000464,No,77,High,No Fraud
TXN10000465,No,80,High,No Fraud
TXN10000466,No,57,Medium,No Fraud
TXN10000467,No,41,Medium,No Fraud
TXN10000468,No,35,Medium,No Fraud
TXN10000469,No,21,Low,No Fraud
TXN10000470,No,42,Medium,No Fraud
TXN10000471,No,72,High,No Fraud
TXN10000472,No,31,Medium,No Fraud
TXN10000473,No,44,Medium,No Fraud
TXN10000474,No,71,High,No Fraud
TXN10000475,No,9,Low,No Fraud
TXN10000476,No,63,High,No Fraud
TXN10000477,No,44,Medium,No Fraud
TXN10000478,No,61,High,No Fraud
TXN10000479,No,42,Medium,No Fraud
TXN10000480,No,12,Low,No Fraud
TXN10000481,No,48,Medium,No Fraud
TXN10000482,No,43,Medium,No Fraud
TXN10000483,No,62,High,No Fraud
TXN10000484,No,1,Low,No Fraud
TXN10000485,No,80,High,No Fraud
TXN10000486,No,52,Medium,No Fraud
TXN10000487,No,20,Low,No Fraud
TXN10000488,No,32,Medium,No Fraud
TXN10000489,No,3,Low,No Fraud
TXN10000490,No,69,High,No Fraud
TXN10000491,No,22,Low,No Fraud
TXN10000492,No,34,Medium,No Fraud
TXN10000493,No,73,High,No Fraud
TXN10000494,No,69,High,No Fraud
TXN10000495,No,13,Low,No Fraud
TXN10000496,No,13,Low,No Fraud
TXN10000497,No,41,Medium,No Fraud
TXN10000498,No,37,Medium,No Fraud
TXN10000499,No,58,Medium,No Fraud
TXN10000500,No,60,Medium,No Fraud
TXN10000501,No,24,Low,No Fraud
TXN10000502,No,41,Medium,No Fraud
TXN10000503,No,28,Low,No Fraud
TXN10000504,No,47,Medium,No Fraud
TXN10000505,No,34,Medium,No Fraud
TXN10000506,No,68,High,No Fraud
TXN10000507,No,56,Medium,No Fraud
TXN10000508,No,55,Medium,No Fraud
TXN10000509,No,63,High,No Fraud
TXN10000510,No,64,High,No Fraud
TXN10000511,No,16,Low,No Fraud
TXN10000512,No,66,High,No Fraud
TXN10000513,No,44,Medium,No Fraud
TXN10000514,No,5,Low,No Fraud
TXN10000515,No,8,Low,No Fraud
TXN10000516,No,34,Medium,No Fraud
TXN10000517,No,47,Medium,No Fraud
TXN10000518,No,54,Medium,No Fraud
TXN10000519,No,50,Medium,No Fraud
TXN10000520,No,62,High,No Fraud
TXN10000521,No,10,Low,No Fraud
TXN10000522,No,50,Medium,No Fraud
TXN10000523,No,44,Medium,No Fraud
TXN10000524,No,69,High,No Fraud
TXN10000525,No,14,Low,No Fraud
TXN10000526,No,61,High,No Fraud
TXN10000527,No,61,High,No Fraud
TXN10000528,No,64,High,No Fraud
TXN10000529,No,80,High,No Fraud
TXN10000530,No,32,Medium,No Fraud
TXN10000531,No,3,Low,No Fraud
TXN10000532,No,45,Medium,No Fraud
TXN10000533,No,47,Medium,No Fraud
TXN10000534,No,75,High,No Fraud
TXN10000535,No,5,Low,No Fraud
TXN10000536,No,59,Medium,No Fraud
TXN10000537,No,70,High,No Fraud
TXN10000538,No,61,High,No Fraud
TXN10000539,No,55,Medium,No Fraud
TXN10000540,No,78,High,No Fraud
TXN10000541,No,33,Medium,No Fraud
TXN10000542,No,77,High,No Fraud
TXN10000543,No,28,Low,No Fraud
TXN10000544,No,71,High,No Fraud
TXN10000545,No,79,High,No Fraud
TXN10000546,No,59,Medium,No Fraud
TXN10000547,No,4,Low,No Fraud
TXN10000548,No,65,High,No Fraud
TXN10000549,No,42,Medium,No Fraud
TXN10000550,No,26,Low,No Fraud
TXN10000551,No,11,Low,No Fraud
TXN10000552,No,64,High,No Fraud
TXN10000553,No,67,High,No Fraud
TXN10000554,No,30,Low,No Fraud
TXN10000555,No,76,High,No Fraud
TXN10000556,No,55,Medium,No Fraud
TXN10000557,No,15,Low,No Fraud
TXN10000558,No,1,Low,No Fraud
TXN10000559,No,21,Low,No Fraud
TXN10000560,No,38,Medium,No Fraud
TXN10000561,No,27,Low,No Fraud
TXN10000562,No,9,Low,No Fraud
TXN10000563,No,65,High,No Fraud
TXN10000564,No,24,Low,No Fraud
TXN10000565,No,39,Medium,No Fraud
TXN10000566,No,13,Low,No Fraud
TXN10000567,No,5,Low,No Fraud
TXN10000568,No,21,Low,No Fraud
TXN10000569,No,36,Medium,No Fraud
TXN10000570,No,29,Low,No Fraud
TXN10000571,No,11,Low,No Fraud
TXN10000572,No,55,Medium,No Fraud
TXN10000573,No,41,Medium,No Fraud
TXN10000574,No,16,Low,No Fraud
TXN10000575,No,16,Low,No Fraud
TXN10000576,No,42,Medium,No Fraud
TXN10000577,No,31,Medium,No Fraud
TXN10000578,No,38,Medium,No Fraud
TXN10000579,No,41,Medium,No Fraud
TXN10000580,No,19,Low,No Fraud
TXN10000581,No,36,Medium,No Fraud
TXN10000582,No,19,Low,No Fraud
TXN10000583,No,80,High,No Fraud
TXN10000584,No,18,Low,No Fraud
TXN10000585,No,68,High,No Fraud
TXN10000586,No,75,High,No Fraud
TXN10000587,No,61,High,No Fraud
TXN10000588,No,42,Medium,No Fraud
TXN10000589,No,42,Medium,No Fraud
TXN10000590,No,69,High,No Fraud
TXN10000591,No,73,High,No Fraud
TXN10000592,No,45,Medium,No Fraud
TXN10000593,No,5,Low,No Fraud
TXN10000594,No,69,High,No Fraud
TXN10000595,No,27,Low,No Fraud
TXN10000596,No,24,Low,No Fraud
TXN10000597,No,8,Low,No Fraud
TXN10000598,No,30,Low,No Fraud
TXN10000599,No,22,Low,No Fraud
TXN10000600,No,8,Low,No Fraud
TXN10000601,No,63,High,No Fraud
TXN10000602,No,79,High,No Fraud
TXN10000603,No,41,Medium,No Fraud
TXN10000604,No,76,High,No Fraud
TXN10000605,No,12,Low,No Fraud
TXN10000606,No,71,High,No Fraud
TXN10000607,No,30,Low,No Fraud
TXN10000608,No,59,Medium,No Fraud
TXN10000609,No,23,Low,No Fraud
TXN10000610,No,18,Low,No Fraud
TXN10000611,No,47,Medium,No Fraud
TXN10000612,No,19,Low,No Fraud
TXN10000613,No,20,Low,No Fraud
TXN10000614,No,26,Low,No Fraud
TXN10000615,No,77,High,No Fraud
TXN10000616,No,34,Medium,No Fraud
TXN10000617,No,39,Medium,No Fraud
TXN10000618,No,16,Low,No Fraud
TXN10000619,No,68,High,No Fraud
TXN10000620,No,67,High,No Fraud
TXN10000621,No,71,High,No Fraud
TXN10000622,No,75,High,No Fraud
TXN10000623,No,27,Low,No Fraud
TXN10000624,No,12,Low,No Fraud
TXN10000625,No,3,Low,No Fraud
TXN10000626,No,46,Medium,No Fraud
TXN10000627,No,74,High,No Fraud
TXN10000628,No,34,Medium,No Fraud
TXN10000629,No,33,Medium,No Fraud
TXN10000630,No,49,Medium,No Fraud
TXN10000631,No,9,Low,No Fraud
TXN10000632,No,49,Medium,No Fraud
TXN10000633,No,25,Low,No Fraud
TXN10000634,No,38,Medium,No Fraud
TXN10000635,No,16,Low,No Fraud
TXN10000636,No,64,High,No Fraud
TXN10000637,No,53,Medium,No Fraud
TXN10000638,No,70,High,No Fraud
TXN10000639,No,21,Low,No Fraud
TXN10000640,Yes,85,Critical,Identity Fraud
TXN10000641,No,6,Low,No Fraud
TXN10000642,No,1,Low,No Fraud
TXN10000643,No,17,Low,No Fraud
TXN10000644,No,18,Low,No Fraud
TXN10000645,No,69,High,No Fraud
TXN10000646,No,38,Medium,No Fraud
TXN10000647,No,14,Low,No Fraud
TXN10000648,No,46,Medium,No Fraud
TXN10000649,No,35,Medium,No Fraud
TXN10000650,No,19,Low,No Fraud
TXN10000651,No,49,Medium,No Fraud
TXN10000652,No,34,Medium,No Fraud
TXN10000653,Yes,98,Critical,Card Fraud
TXN10000654,No,7,Low,No Fraud
TXN10000655,Yes,80,High,Account Takeover
TXN10000656,No,66,High,No Fraud
TXN10000657,No,71,High,No Fraud
TXN10000658,No,68,High,No Fraud
TXN10000659,No,24,Low,No Fraud
TXN10000660,No,51,Medium,No Fraud
TXN10000661,No,79,High,No Fraud
TXN10000662,No,35,Medium,No Fraud
TXN10000663,No,55,Medium,No Fraud
TXN10000664,No,1,Low,No Fraud
TXN10000665,No,13,Low,No Fraud
TXN10000666,No,69,High,No Fraud
TXN10000667,No,22,Low,No Fraud
TXN10000668,No,52,Medium,No Fraud
TXN10000669,No,41,Medium,No Fraud
TXN10000670,No,30,Low,No Fraud
TXN10000671,No,63,High,No Fraud
TXN10000672,No,31,Medium,No Fraud
TXN10000673,No,56,Medium,No Fraud
TXN10000674,No,8,Low,No Fraud
TXN10000675,No,52,Medium,No Fraud
TXN10000676,No,47,Medium,No Fraud
TXN10000677,No,27,Low,No Fraud
TXN10000678,No,3,Low,No Fraud
TXN10000679,No,7,Low,No Fraud
TXN10000680,No,22,Low,No Fraud
TXN10000681,No,60,Medium,No Fraud
TXN10000682,No,57,Medium,No Fraud
TXN10000683,No,7,Low,No Fraud
TXN10000684,No,22,Low,No Fraud
TXN10000685,No,31,Medium,No Fraud
TXN10000686,No,76,High,No Fraud
TXN10000687,No,73,High,No Fraud
TXN10000688,No,24,Low,No Fraud
TXN10000689,No,27,Low,No Fraud
TXN10000690,No,44,Medium,No Fraud
TXN10000691,No,66,High,No Fraud
