Transaction_ID,Customer_ID,Merchant_ID,Transaction_Date,Transaction_Amount,Payment_Method,Channel,Transaction_Status,Transaction_Fee,Currency
TXN10000061,CUST112003,MER100205,19-05-2024,1063.22,UPI,Mobile App,Success,2.13,INR
TXN10000062,CUST103128,MER101094,27-08-2023,1517.82,UPI,Mobile App,Success,7.59,INR
TXN10000063,CUST109958,MER102279,21-06-2025,1151.76,Credit Card,POS,Success,5.76,INR
TXN10000064,CUST115385,MER101160,09-01-2023,610.28,Debit Card,Mobile App,Success,3.05,INR
TXN10000065,CUST114117,MER101851,04-12-2024,567.15,Credit Card,Web,Success,2.84,INR
TXN10000066,CUST107127,MER101868,15-12-2024,358.02,UPI,Mobile App,Success,1.07,INR
TXN10000067,CUST100088,MER102064,29-11-2024,1196.51,Wallet,Web,Success,2.39,INR
TXN10000068,CUST117951,MER100069,13-03-2023,266.65,UPI,Mobile App,Success,0.53,INR
TXN10000069,CUST117075,MER101929,31-05-2023,376.17,UPI,Mobile App,Success,1.88,INR
TXN10000070,CUST115554,MER101111,16-06-2024,1728.83,Debit Card,POS,Success,5.19,INR
TXN10000071,CUST113454,MER102890,03-12-2024,1069.01,Wallet,Mobile App,Success,5.35,INR
TXN10000072,CUST107924,MER102288,21-07-2024,624.88,Debit Card,Web,Success,3.12,INR
TXN10000073,CUST105640,MER100761,31-03-2024,1233.27,Credit Card,Web,Success,2.47,INR
TXN10000074,CUST105017,MER102273,26-06-2025,1305.61,UPI,POS,Success,3.92,INR
TXN10000075,CUST119804,MER102586,29-03-2025,806.46,UPI,Web,Success,6.45,INR
TXN10000076,CUST106672,MER101833,21-01-2024,3231.76,UPI,Web,Success,6.46,INR
TXN10000077,CUST100323,MER101471,10-07-2023,2519.67,UPI,Web,Success,7.56,INR
TXN10000078,CUST118059,MER100900,12-02-2023,452.77,Credit Card,POS,Declined,1.36,INR
TXN10000079,CUST113029,MER101744,09-12-2024,1294.14,UPI,POS,Success,6.47,INR
TXN10000080,CUST104683,MER100634,01-12-2024,1592.01,Net Banking,POS,Success,3.18,INR
TXN10000081,CUST116876,MER101325,19-06-2025,1391.24,Debit Card,Mobile App,Success,2.78,INR
TXN10000082,CUST115657,MER100273,30-08-2025,1536.69,UPI,Web,Success,3.07,INR
TXN10000083,CUST114125,MER101097,17-03-2024,1095.79,Credit Card,Mobile App,Success,2.19,INR
TXN10000084,CUST108355,MER101779,21-03-2025,1050.98,Net Banking,Web,Success,5.25,INR
TXN10000085,CUST112160,MER101335,26-09-2025,6909.65,UPI,Mobile App,Success,55.28,INR
TXN10000086,CUST106542,MER100897,07-11-2025,89.53,Credit Card,Mobile App,Success,0.27,INR
TXN10000087,CUST104334,MER100755,22-01-2025,2004.31,Credit Card,Web,Success,6.01,INR
TXN10000088,CUST115354,MER100185,29-01-2024,527.67,UPI,Mobile App,Success,1.58,INR
TXN10000089,CUST104098,MER100970,28-07-2024,594.95,UPI,Mobile App,Success,2.97,INR
TXN10000090,CUST117979,MER100989,28-10-2023,2067.17,UPI,Mobile App,Success,10.34,INR
TXN10000091,CUST118407,MER101476,14-10-2025,266.31,UPI,Mobile App,Success,1.33,INR
TXN10000092,CUST109978,MER102759,11-05-2024,709.64,UPI,Mobile App,Success,3.55,INR
TXN10000093,CUST114187,MER102272,22-10-2025,428.27,UPI,Web,Success,0.86,INR
TXN10000094,CUST119753,MER102469,29-05-2025,1250.87,UPI,Mobile App,Success,2.5,INR
TXN10000095,CUST117735,MER102271,18-08-2024,2000.72,Debit Card,Mobile App,Success,4,INR
TXN10000096,CUST102612,MER101887,26-12-2025,1217.95,Net Banking,Mobile App,Success,3.65,INR
TXN10000097,CUST103998,MER101217,19-10-2023,368.78,UPI,Web,Success,0.74,INR
TXN10000098,CUST100259,MER102348,05-02-2025,548.15,UPI,Mobile App,Success,1.1,INR
TXN10000099,CUST113122,MER102768,01-10-2024,1823.3,Wallet,Mobile App,Success,3.65,INR
TXN10000100,CUST106343,MER100395,05-01-2023,260.23,Credit Card,Mobile App,Success,0.78,INR
TXN10000101,CUST101722,MER100836,25-09-2023,504.46,Net Banking,Mobile App,Success,1.01,INR
TXN10000102,CUST114152,MER101319,19-03-2023,2039.47,UPI,Web,Success,6.12,INR
TXN10000103,CUST101804,MER102798,26-02-2025,687.53,UPI,Mobile App,Success,2.06,INR
TXN10000104,CUST105876,MER100151,10-05-2023,822.52,UPI,Mobile App,Failed,1.65,INR
TXN10000105,CUST102369,MER100209,20-09-2025,1616.46,UPI,Mobile App,Failed,3.23,INR
TXN10000106,CUST101704,MER100362,21-12-2024,359.64,UPI,Web,Success,0.72,INR
TXN10000107,CUST114216,MER102582,20-09-2023,601.71,Wallet,Mobile App,Success,3.01,INR
TXN10000108,CUST119658,MER100471,14-09-2025,197.38,UPI,Mobile App,Success,0.59,INR
TXN10000109,CUST111611,MER100873,04-02-2023,1498.13,Debit Card,Mobile App,Success,3,INR
TXN10000110,CUST103493,MER100422,27-11-2024,513.96,UPI,Web,Success,2.57,INR
TXN10000111,CUST113513,MER101241,01-07-2025,1793.73,UPI,Web,Success,3.59,INR
TXN10000112,CUST108568,MER100517,20-08-2025,873.26,UPI,Mobile App,Success,6.99,INR
TXN10000113,CUST117637,MER102847,30-11-2023,2038.27,Debit Card,POS,Success,10.19,INR
TXN10000114,CUST119576,MER100991,25-10-2024,3091.76,UPI,Web,Success,15.46,INR
TXN10000115,CUST118119,MER100893,28-10-2025,5446.78,Credit Card,Web,Success,10.89,INR
TXN10000116,CUST105160,MER100714,28-03-2025,1157.8,UPI,Mobile App,Success,2.32,INR
TXN10000117,CUST110371,MER100335,26-02-2024,2888.01,UPI,Mobile App,Success,8.66,INR
TXN10000118,CUST107434,MER100359,12-06-2024,1064.61,UPI,Mobile App,Success,5.32,INR
TXN10000119,CUST115214,MER100904,24-08-2024,1193.74,Credit Card,Web,Success,3.58,INR
TXN10000120,CUST119439,MER100558,20-10-2023,1707.68,UPI,Web,Success,5.12,INR
TXN10000121,CUST102104,MER102757,12-03-2025,512.53,UPI,Mobile App,Success,1.54,INR
TXN10000122,CUST106950,MER100812,06-09-2023,890.28,UPI,Web,Success,1.78,INR
TXN10000123,CUST107545,MER100537,01-01-2023,412.34,Wallet,Mobile App,Success,1.24,INR
TXN10000124,CUST109124,MER100698,04-12-2023,1363.36,Debit Card,Web,Failed,2.73,INR
TXN10000125,CUST113111,MER100561,16-02-2025,556.9,Net Banking,Mobile App,Success,1.67,INR
TXN10000126,CUST117575,MER101786,04-09-2024,489.54,UPI,Mobile App,Success,0.98,INR
TXN10000127,CUST105481,MER100109,18-09-2024,603,UPI,Mobile App,Success,1.21,INR
TXN10000128,CUST116414,MER101541,26-02-2024,651.25,Debit Card,Mobile App,Success,5.21,INR
TXN10000129,CUST110435,MER102260,05-07-2024,1364.62,Credit Card,Web,Success,4.09,INR
TXN10000130,CUST108249,MER100317,03-04-2025,750.36,UPI,POS,Success,3.75,INR
TXN10000131,CUST109317,MER101817,18-04-2024,2240.27,Credit Card,Mobile App,Success,6.72,INR
TXN10000132,CUST116226,MER102138,04-07-2023,763.29,UPI,POS,Success,3.82,INR
TXN10000133,CUST119807,MER101068,21-05-2023,682.68,Debit Card,Mobile App,Success,3.41,INR
TXN10000134,CUST112978,MER100200,07-10-2025,1175.28,UPI,Mobile App,Success,9.4,INR
TXN10000135,CUST115354,MER100011,13-07-2023,601.85,Credit Card,Mobile App,Success,1.81,INR
TXN10000136,CUST112946,MER100555,29-12-2023,339.17,UPI,POS,Success,0.68,INR
TXN10000137,CUST119984,MER101621,25-12-2025,239.31,Debit Card,Mobile App,Success,1.2,INR
TXN10000138,CUST114668,MER101645,11-10-2023,497.05,Net Banking,Mobile App,Success,1.49,INR
TXN10000139,CUST109873,MER100609,02-10-2024,1668.7,UPI,Web,Declined,3.34,INR
TXN10000140,CUST100928,MER100205,14-06-2025,213.75,UPI,Mobile App,Declined,0.43,INR
TXN10000141,CUST111859,MER101371,16-04-2024,1048.07,UPI,Mobile App,Success,5.24,INR
TXN10000142,CUST102185,MER102472,22-01-2024,2000.69,Debit Card,Mobile App,Success,4,INR
TXN10000143,CUST111140,MER102611,16-03-2024,476.82,Debit Card,Mobile App,Success,0.95,INR
TXN10000144,CUST115476,MER102733,28-09-2024,653.18,UPI,Web,Success,1.96,INR
TXN10000145,CUST101972,MER100055,01-09-2025,203.1,UPI,Mobile App,Success,0.41,INR
TXN10000146,CUST105223,MER102711,16-04-2024,759.82,Debit Card,Mobile App,Success,6.08,INR
TXN10000147,CUST100655,MER101125,29-06-2023,306.43,Net Banking,Mobile App,Success,0.92,INR
TXN10000148,CUST118484,MER101782,21-08-2023,1602.46,UPI,Web,Success,4.81,INR
TXN10000149,CUST110276,MER100094,26-12-2025,553.47,UPI,Mobile App,Success,1.11,INR
TXN10000150,CUST104257,MER100158,02-09-2025,1938.19,UPI,Mobile App,Success,15.51,INR
TXN10000151,CUST105031,MER101018,04-10-2025,864.35,UPI,Mobile App,Success,2.59,INR
TXN10000152,CUST106741,MER102261,09-02-2023,4056.79,UPI,Mobile App,Success,8.11,INR
TXN10000153,CUST104192,MER102099,20-10-2024,1122.29,Debit Card,Mobile App,Success,2.24,INR
TXN10000154,CUST118903,MER101241,01-03-2025,255.81,Debit Card,Mobile App,Success,1.28,INR
TXN10000155,CUST115871,MER100530,20-02-2023,2331.45,Debit Card,Mobile App,Success,11.66,INR
TXN10000156,CUST105018,MER101331,06-09-2024,1103.39,Net Banking,Mobile App,Success,5.52,INR
TXN10000157,CUST118866,MER101243,07-03-2024,568.03,Credit Card,Mobile App,Success,1.14,INR
TXN10000158,CUST109936,MER101325,07-02-2025,3665.09,UPI,Mobile App,Success,11,INR
TXN10000159,CUST118558,MER102434,28-03-2024,566.8,Net Banking,Mobile App,Success,2.83,INR
TXN10000160,CUST116992,MER100164,02-01-2024,639.52,Credit Card,Mobile App,Success,1.28,INR
TXN10000161,CUST101657,MER100102,19-09-2023,1107.7,Credit Card,Mobile App,Success,3.32,INR
TXN10000162,CUST100040,MER102373,06-01-2025,4989.64,UPI,Web,Success,9.98,INR
TXN10000163,CUST102690,MER101564,27-05-2024,1048.49,Credit Card,Mobile App,Declined,2.1,INR
TXN10000164,CUST103154,MER100699,15-03-2023,1118.77,Debit Card,Mobile App,Success,8.95,INR
TXN10000165,CUST114816,MER102031,09-07-2023,405.75,Credit Card,POS,Declined,1.22,INR
TXN10000166,CUST105487,MER100402,09-02-2024,1313.45,UPI,POS,Success,3.94,INR
TXN10000167,CUST104092,MER101335,27-05-2024,313.3,UPI,Mobile App,Success,0.94,INR
TXN10000168,CUST116922,MER102678,07-03-2025,2620.73,UPI,Web,Success,13.1,INR
TXN10000169,CUST111969,MER100358,25-04-2024,776.98,Wallet,Web,Success,6.22,INR
TXN10000170,CUST101191,MER101542,03-08-2023,210.62,UPI,Mobile App,Success,1.05,INR
TXN10000171,CUST103058,MER100603,20-05-2025,667.36,Debit Card,POS,Success,2,INR
TXN10000172,CUST100528,MER101982,06-10-2024,493.66,Credit Card,Mobile App,Success,1.48,INR
TXN10000173,CUST100554,MER100439,03-01-2024,357.3,Debit Card,Mobile App,Success,1.07,INR
TXN10000174,CUST107295,MER100240,11-03-2025,454.92,Credit Card,POS,Success,2.27,INR
TXN10000175,CUST101856,MER102051,17-10-2025,788.74,Credit Card,POS,Success,1.58,INR
TXN10000176,CUST110479,MER100206,22-10-2023,1417.73,UPI,Web,Success,2.84,INR
TXN10000177,CUST116913,MER101251,24-09-2023,225.3,Credit Card,Web,Success,0.68,INR
TXN10000178,CUST117903,MER102290,14-09-2025,1912.9,UPI,Mobile App,Failed,5.74,INR
TXN10000179,CUST111171,MER100919,17-11-2024,456.29,Net Banking,Web,Success,2.28,INR
TXN10000180,CUST105726,MER100111,31-12-2024,835.53,Credit Card,Mobile App,Success,1.67,INR
TXN10000181,CUST119744,MER101625,25-09-2024,1433.18,UPI,Mobile App,Success,7.17,INR
TXN10000182,CUST104030,MER100635,20-08-2023,143.87,UPI,Mobile App,Success,0.43,INR
TXN10000183,CUST101943,MER101868,14-07-2024,2087.42,UPI,Mobile App,Success,6.26,INR
TXN10000184,CUST107132,MER101327,15-03-2025,931.2,UPI,Mobile App,Success,2.79,INR
TXN10000185,CUST109311,MER102436,07-03-2023,888.38,Debit Card,Mobile App,Success,4.44,INR
TXN10000186,CUST111530,MER102961,27-03-2024,418.57,Net Banking,Mobile App,Success,1.26,INR
TXN10000187,CUST108450,MER102347,12-12-2025,656.93,UPI,Web,Success,3.28,INR
TXN10000188,CUST104048,MER100257,28-12-2023,651.75,UPI,Web,Success,5.21,INR
TXN10000189,CUST102814,MER100770,27-09-2024,1529.52,UPI,Mobile App,Success,12.24,INR
TXN10000190,CUST106432,MER101104,10-06-2024,647.99,Wallet,Web,Success,5.18,INR
TXN10000191,CUST118859,MER101215,27-10-2024,1882.84,UPI,Mobile App,Success,3.77,INR
TXN10000192,CUST101543,MER100832,03-12-2025,1568.3,UPI,Mobile App,Success,3.14,INR
TXN10000193,CUST109972,MER101693,02-10-2023,528.57,UPI,Mobile App,Success,2.64,INR
TXN10000194,CUST109189,MER102186,06-09-2023,1205.52,UPI,Web,Success,2.41,INR
TXN10000195,CUST110629,MER100931,17-12-2024,204.58,Credit Card,Web,Success,0.41,INR
TXN10000196,CUST110922,MER102748,28-07-2025,2010.22,UPI,Mobile App,Success,6.03,INR
TXN10000197,CUST109324,MER102369,18-05-2025,4613.09,Credit Card,POS,Failed,13.84,INR
TXN10000198,CUST110343,MER100321,04-11-2024,930.15,UPI,Mobile App,Failed,4.65,INR
TXN10000199,CUST101136,MER100761,24-09-2024,1893.87,Credit Card,Web,Success,3.79,INR
TXN10000200,CUST117071,MER100391,01-01-2023,458.48,Credit Card,Mobile App,Success,3.67,INR
TXN10000201,CUST114810,MER102808,18-12-2024,478.44,UPI,Mobile App,Success,0.96,INR
TXN10000202,CUST108581,MER100631,05-01-2023,809.7,Debit Card,POS,Success,1.62,INR
TXN10000203,CUST111896,MER102236,10-07-2024,433.67,UPI,Web,Success,1.3,INR
TXN10000204,CUST100776,MER101486,06-03-2024,1451.85,Debit Card,Web,Failed,2.9,INR
TXN10000205,CUST104322,MER101806,11-08-2023,806.82,UPI,POS,Success,1.61,INR
TXN10000206,CUST112463,MER101502,22-11-2024,216.26,Wallet,Mobile App,Success,0.43,INR
TXN10000207,CUST119093,MER101836,11-11-2025,121.47,UPI,Web,Success,0.36,INR
TXN10000208,CUST115324,MER100349,22-11-2024,1719.56,UPI,Web,Success,3.44,INR
TXN10000209,CUST115498,MER101448,25-05-2024,733.7,UPI,Mobile App,Success,1.47,INR
TXN10000210,CUST105398,MER100333,20-11-2024,488.4,Debit Card,Mobile App,Success,3.91,INR
TXN10000211,CUST107280,MER101382,18-06-2025,755.05,Credit Card,Mobile App,Success,3.78,INR
TXN10000212,CUST112342,MER100518,16-04-2023,1484.56,Debit Card,Mobile App,Success,4.45,INR
TXN10000213,CUST102117,MER100567,08-04-2024,1123.6,UPI,POS,Success,3.37,INR
TXN10000214,CUST101442,MER102495,13-01-2023,476.76,Credit Card,Mobile App,Success,0.95,INR
TXN10000215,CUST104180,MER102534,12-12-2025,2674.91,Debit Card,Mobile App,Success,8.02,INR
TXN10000216,CUST103089,MER100618,28-03-2023,980.27,Debit Card,Mobile App,Success,7.84,INR
TXN10000217,CUST118589,MER102373,07-02-2024,605.38,Net Banking,Mobile App,Success,1.21,INR
TXN10000218,CUST102496,MER101235,11-05-2025,909.77,Wallet,Web,Success,7.28,INR
TXN10000219,CUST113885,MER102886,25-10-2024,1304.38,UPI,Mobile App,Success,2.61,INR
TXN10000220,CUST115020,MER101090,01-08-2024,2680.45,UPI,Web,Success,5.36,INR
TXN10000221,CUST107741,MER101143,06-01-2025,1297.4,Debit Card,Mobile App,Success,2.59,INR
TXN10000222,CUST107740,MER101317,26-11-2023,523.74,UPI,POS,Success,1.05,INR
TXN10000223,CUST107030,MER102450,06-07-2023,577.12,Debit Card,Mobile App,Success,1.73,INR
TXN10000224,CUST114909,MER100249,21-02-2025,875.91,UPI,Mobile App,Success,2.63,INR
TXN10000225,CUST100831,MER100342,12-01-2023,1927.21,Net Banking,Web,Success,15.42,INR
TXN10000226,CUST101834,MER100114,04-01-2024,1041.83,Credit Card,Mobile App,Declined,3.13,INR
TXN10000227,CUST114471,MER100133,04-03-2024,1107.06,Net Banking,Mobile App,Success,3.32,INR
TXN10000228,CUST107170,MER102947,13-08-2024,454.74,UPI,Mobile App,Success,1.36,INR
TXN10000229,CUST110533,MER102408,15-05-2023,476.65,UPI,Mobile App,Success,0.95,INR
TXN10000230,CUST107929,MER101401,06-01-2023,348.46,Net Banking,Mobile App,Success,0.7,INR
TXN10000231,CUST111304,MER100494,27-07-2023,1048.78,Debit Card,Mobile App,Failed,2.1,INR
TXN10000232,CUST117224,MER102280,09-05-2024,631.99,UPI,Web,Success,1.9,INR
TXN10000233,CUST111922,MER101005,06-12-2024,483.52,UPI,Web,Success,0.97,INR
TXN10000234,CUST105563,MER102844,24-12-2025,640.58,Debit Card,POS,Success,1.28,INR
TXN10000235,CUST112265,MER100689,27-04-2023,731.75,Credit Card,Web,Success,3.66,INR
TXN10000236,CUST111875,MER102858,21-07-2024,2915.79,UPI,Mobile App,Success,8.75,INR
TXN10000237,CUST108893,MER101430,06-08-2023,1100.82,Credit Card,POS,Success,2.2,INR
TXN10000238,CUST115418,MER100522,24-06-2024,1976.32,Credit Card,Mobile App,Success,3.95,INR
TXN10000239,CUST116479,MER100669,23-05-2025,274.85,Debit Card,Mobile App,Success,1.37,INR
TXN10000240,CUST108144,MER101196,27-03-2025,508.79,Debit Card,Web,Success,2.54,INR
TXN10000241,CUST108808,MER101108,19-04-2025,2404.64,Credit Card,Mobile App,Success,7.21,INR
TXN10000242,CUST113310,MER100015,22-09-2023,780.89,Wallet,Mobile App,Declined,1.56,INR
TXN10000243,CUST112873,MER102017,03-07-2025,7971.66,UPI,Mobile App,Success,23.91,INR
TXN10000244,CUST115301,MER101925,21-11-2024,2163.1,Credit Card,Web,Success,10.82,INR
TXN10000245,CUST115732,MER100481,23-06-2024,1177.39,Wallet,Mobile App,Success,5.89,INR
TXN10000246,CUST111150,MER101320,18-03-2024,743.48,UPI,Mobile App,Success,2.23,INR
TXN10000247,CUST111469,MER102048,24-11-2023,1974.32,UPI,Mobile App,Success,15.79,INR
TXN10000248,CUST109491,MER100048,11-11-2023,1655.76,Net Banking,Mobile App,Success,4.97,INR
TXN10000249,CUST117275,MER101905,10-09-2023,1909.81,UPI,Mobile App,Success,5.73,INR
TXN10000250,CUST116892,MER100941,13-02-2025,1825.29,Net Banking,Mobile App,Success,9.13,INR
TXN10000251,CUST117461,MER102251,01-02-2024,287.44,UPI,Web,Success,0.57,INR
TXN10000252,CUST114160,MER100664,01-04-2025,932.83,Credit Card,Web,Success,2.8,INR
TXN10000253,CUST101554,MER102589,11-05-2023,350.2,UPI,Web,Success,2.8,INR
TXN10000254,CUST112297,MER100633,10-11-2025,686.72,Net Banking,Mobile App,Success,2.06,INR
TXN10000255,CUST116049,MER102710,02-06-2025,284.7,UPI,Web,Success,0.57,INR
TXN10000256,CUST103329,MER102520,24-03-2024,673.45,Wallet,POS,Success,3.37,INR
TXN10000257,CUST101374,MER102942,28-04-2023,332.55,UPI,Mobile App,Success,1,INR
TXN10000258,CUST105989,MER102244,29-08-2023,872.42,UPI,Mobile App,Success,2.62,INR
TXN10000259,CUST109830,MER102048,13-03-2025,753.35,Credit Card,Mobile App,Declined,2.26,INR
TXN10000260,CUST111792,MER102624,02-05-2023,1862.17,Debit Card,Mobile App,Success,3.72,INR
TXN10000261,CUST115629,MER100194,01-11-2025,1014.52,Debit Card,POS,Success,3.04,INR
TXN10000262,CUST115255,MER102938,24-12-2025,2816.58,Debit Card,Mobile App,Success,22.53,INR
TXN10000263,CUST108910,MER100994,30-07-2024,1267.34,UPI,Mobile App,Success,3.8,INR
TXN10000264,CUST111933,MER101539,11-09-2024,781.99,UPI,Mobile App,Success,6.26,INR
TXN10000265,CUST106636,MER102813,17-05-2024,2778.8,Net Banking,Mobile App,Success,13.89,INR
TXN10000266,CUST108222,MER101010,16-10-2025,231.11,UPI,POS,Success,0.69,INR
TXN10000267,CUST115658,MER102780,06-01-2025,989.73,Wallet,Mobile App,Success,1.98,INR
TXN10000268,CUST115358,MER101943,29-10-2025,349.21,UPI,Mobile App,Success,1.05,INR
TXN10000269,CUST109101,MER100054,12-04-2023,2319.21,Credit Card,POS,Success,4.64,INR
TXN10000270,CUST112248,MER101581,09-04-2023,960.5,UPI,Web,Success,7.68,INR
TXN10000271,CUST104740,MER101785,19-06-2024,1515.42,Debit Card,POS,Success,12.12,INR
TXN10000272,CUST104231,MER100890,13-11-2024,1281.33,Debit Card,POS,Success,3.84,INR
TXN10000273,CUST103254,MER100282,27-03-2023,1026.26,Credit Card,Mobile App,Success,3.08,INR
TXN10000274,CUST114966,MER102366,21-04-2025,1071.01,Credit Card,Web,Success,8.57,INR
TXN10000275,CUST100629,MER100358,26-06-2024,169.83,UPI,Mobile App,Failed,0.51,INR
TXN10000276,CUST110830,MER100196,26-11-2025,442.49,Net Banking,POS,Success,1.33,INR
TXN10000277,CUST116555,MER102140,07-09-2024,1201.68,Net Banking,Mobile App,Success,3.61,INR
TXN10000278,CUST107312,MER102211,25-10-2024,175.74,Credit Card,POS,Success,0.35,INR
TXN10000279,CUST110794,MER101148,12-04-2023,965.77,Credit Card,Web,Success,1.93,INR
TXN10000280,CUST109698,MER100917,24-06-2024,1463.81,Wallet,Mobile App,Success,2.93,INR
TXN10000281,CUST113151,MER100825,14-06-2025,1347.65,UPI,Mobile App,Success,6.74,INR
